Campaign name,Day,Ad Group,Ad,utm_campaign,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Result value type,Results ROAS,Website purchase ROAS (return on advertising spend),Reporting starts,Reporting ends
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-06,Broad + adv no target,v1,,,ad,121,135,1.12,,,,2.68,,,,6,0.45,19.85,4.44,,,,45694,45694
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-06,Broad + adv no target,v2,,,ad,83,87,1.05,,,,2.69,,,,1,2.69,30.92,1.15,,,,45694,45694
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-06,Broad + adv no target,v3,,,ad,260,279,1.07,,,,7.43,,,,3,2.48,26.63,1.08,,,,45694,45694
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-06,Broad + adv no target,v4,,,ad,105,106,1.01,,,,3.75,,,,2,1.88,35.38,1.89,,,,45694,45694
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-06,Broad + adv no target,v5,,,ad,212,231,1.09,,,,8.26,,,,4,2.07,35.76,1.73,,,,45694,45694
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-07,Broad + adv no target,v1,,,ad,159,173,1.09,,,,6.44,,,,7,0.92,37.23,4.05,,,,45695,45695
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-07,Broad + adv no target,v2,,,ad,25,29,1.16,,,,0.99,,,,0,0,34.14,0,,,,45695,45695
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-07,Broad + adv no target,v3,,,ad,140,148,1.06,,,,5.88,,,,3,1.96,39.73,2.03,,,,45695,45695
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-07,Broad + adv no target,v4,,,ad,103,123,1.19,,,,3.87,,,,5,0.77,31.46,4.07,,,,45695,45695
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-07,Broad + adv no target,v5,,,ad,246,264,1.07,,,,10.1,,,,6,1.68,38.26,2.27,,,,45695,45695
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-08,Broad + adv no target,v1,,,ad,56,61,1.09,,,,1.61,,,,0,0,26.39,0,,,,45696,45696
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-08,Broad + adv no target,v2,,,ad,18,18,1,,,,0.7,,,,1,0.7,38.89,5.56,,,,45696,45696
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-08,Broad + adv no target,v3,,,ad,75,78,1.04,,,,2.92,,,,0,0,37.44,0,,,,45696,45696
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-08,Broad + adv no target,v4,,,ad,20,21,1.05,,,,0.81,,,,1,0.81,38.57,4.76,,,,45696,45696
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-08,Broad + adv no target,v5,,,ad,515,556,1.08,,Website purchases,1,21.21,21.21,,,12,1.77,38.15,2.16,Website purchases conversion value,1.41,1.41,45696,45696
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-08,Broad + adv no target,v5 - Copy 2,,,ad,57,60,1.05,,,,1.38,,,,2,0.69,23,3.33,,,,45696,45696
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-09,Broad + adv no target,v1,,,ad,27,34,1.26,,,,1.04,,,,1,1.04,30.59,2.94,,,,45697,45697
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-09,Broad + adv no target,v5,,,ad,559,636,1.14,,,,32.14,,,,22,1.46,50.53,3.46,,,,45697,45697
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-09,Broad + adv no target,v5 - Copy1,,,ad,47,48,1.02,,,,2.27,,,,2,1.14,47.29,4.17,,,,45697,45697
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-09,Broad + adv no target,v5 - Copy 2,,,ad,31,32,1.03,,,,1.34,,,,0,0,41.88,0,,,,45697,45697
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-10,Broad + adv no target,v1,,,ad,32,38,1.19,,,,0.68,,,,1,0.68,17.89,2.63,,,,45698,45698
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-10,Broad + adv no target,v5,,,ad,565,616,1.09,,,,27.3,,,,20,1.37,44.32,3.25,,,,45698,45698
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-10,Broad + adv no target,v5 - Copy1,,,ad,9,9,1,,,,0.21,,,,0,0,23.33,0,,,,45698,45698
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-10,Broad + adv no target,v5 - Copy 2,,,ad,12,13,1.08,,,,0.32,,,,0,0,24.62,0,,,,45698,45698
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-11,Broad + adv no target,v1,,,ad,31,45,1.45,,,,1.08,,,,4,0.27,24,8.89,,,,45699,45699
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-11,Broad + adv no target,v5,,,ad,547,620,1.13,,,,25.69,,,,20,1.28,41.44,3.23,,,,45699,45699
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-11,Broad + adv no target,v5 - Copy1,,,ad,9,10,1.11,,,,0.34,,,,0,0,34,0,,,,45699,45699
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-11,Broad + adv no target,v5 - Copy 2,,,ad,2,5,2.5,,,,0.11,,,,0,0,22,0,,,,45699,45699
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-12,Broad + adv no target,v1,,,ad,24,30,1.25,,,,0.8,,,,0,0,26.67,0,,,,45700,45700
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-12,Broad + adv no target,v5,,,ad,473,508,1.07,,,,28.56,,,,16,1.79,56.22,3.15,,,,45700,45700
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-12,Broad + adv no target,v5 - Copy1,,,ad,8,8,1,,,,0.15,,,,0,0,18.75,0,,,,45700,45700
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-12,Broad + adv no target,v5 - Copy 2,,,ad,5,6,1.2,,,,0.06,,,,0,0,10,0,,,,45700,45700
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-13,Broad + adv no target,v1,,,ad,22,27,1.23,,,,0.88,,,,2,0.44,32.59,7.41,,,,45701,45701
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-13,Broad + adv no target,v5,,,ad,507,587,1.16,,Website purchases,2,25.92,12.96,,,18,1.44,44.16,3.07,Website purchases conversion value,2.31,2.31,45701,45701
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-13,Broad + adv no target,v5 - Copy1,,,ad,9,12,1.33,,,,0.57,,,,0,0,47.5,0,,,,45701,45701
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-13,Broad + adv no target,v5 - Copy 2,,,ad,2,2,1,,,,0.03,,,,0,0,15,0,,,,45701,45701
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-14,Broad + adv no target,v1,,,ad,24,36,1.5,,,,2.25,,,,2,1.13,62.5,5.56,,,,45702,45702
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-14,Broad + adv no target,v5,,,ad,600,626,1.04,,Website purchases,2,29.75,14.88,,,31,0.96,47.52,4.95,Website purchases conversion value,0.62,0.62,45702,45702
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-14,Broad + adv no target,v5 - Copy1,,,ad,1,1,1,,,,0.03,,,,0,0,30,0,,,,45702,45702
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-14,Broad + adv no target,v5 - Copy 2,,,ad,5,5,1,,,,0.07,,,,0,0,14,0,,,,45702,45702
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-15,Broad + adv no target,v1,,,ad,29,36,1.24,,,,0.97,,,,0,0,26.94,0,,,,45703,45703
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-15,Broad + adv no target,v5,,,ad,676,680,1.01,,Website purchases,1,27.05,27.05,,,20,1.35,39.78,2.94,Website purchases conversion value,1.11,1.11,45703,45703
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-15,Broad + adv no target,v5 - Copy1,,,ad,2,2,1,,,,0.18,,,,0,0,90,0,,,,45703,45703
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-15,Broad + adv no target,v5 - Copy 2,,,ad,6,6,1,,,,0.06,,,,0,0,10,0,,,,45703,45703
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-16,Broad + adv no target,v1,,,ad,6,6,1,,,,0.22,,,,0,0,36.67,0,,,,45704,45704
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-16,Broad + adv no target,v5,,,ad,533,620,1.16,,Website purchases,2,29.97,14.99,,,20,1.5,48.34,3.23,Website purchases conversion value,1.62,1.62,45704,45704
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-16,Broad + adv no target,v5 - Copy 2,,,ad,19,25,1.32,,,,1.27,,,,2,0.64,50.8,8,,,,45704,45704
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-17,Broad + adv no target,v1,,,ad,6,7,1.17,,,,0.19,,,,1,0.19,27.14,14.29,,,,45705,45705
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-17,Broad + adv no target,v5,,,ad,978,1060,1.08,,Website purchases,1,43.34,43.34,,,32,1.35,40.89,3.02,Website purchases conversion value,0.43,0.43,45705,45705
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-17,Broad + adv no target,v5 - Copy 2,,,ad,16,18,1.13,,,,0.75,,,,0,0,41.67,0,,,,45705,45705
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-18,Broad + adv no target,v5,,,ad,1569,1679,1.07,,Website purchases,1,70.82,70.82,,,51,1.39,42.18,3.04,Website purchases conversion value,0.34,0.34,45706,45706
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-19,Broad + adv no target,v5,,,ad,560,604,1.08,,Website purchases,1,22.89,22.89,,,19,1.2,37.9,3.15,Website purchases conversion value,1.05,1.05,45707,45707
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-20,Broad + adv no target,v5,,,ad,555,620,1.12,,,,20.8,,,,17,1.22,33.55,2.74,,,,45708,45708
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-21,Broad + adv no target,v5,,,ad,589,648,1.1,,,,19.56,,,,20,0.98,30.19,3.09,,,,45709,45709
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-22,Broad + adv no target,v5,,,ad,530,575,1.08,,Website purchases,2,17.7,8.85,,,23,0.77,30.78,4,Website purchases conversion value,1.69,1.69,45710,45710
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-23,Broad + adv no target,v5,,,ad,569,632,1.11,,,,21.2,,,,19,1.12,33.54,3.01,,,,45711,45711
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-24,Broad + adv no target,v5,,,ad,604,715,1.18,,Website purchases,2,20.39,10.2,,,26,0.78,28.52,3.64,Website purchases conversion value,0.91,0.91,45712,45712
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-25,Broad + adv no target,v5,,,ad,518,620,1.2,,,,20.87,,,,13,1.61,33.66,2.1,,,,45713,45713
